outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
success,2.4079999999999564,22.73668305791345,1,68.05415061870474,1231,2.4599999999999507,0,residual,True
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
timeout,,23.915816002210075,1,658.1649825170052,9000,17.998000000000903,1,residual,False
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,32.08007201362985,1,36.94435091321875,929,1.8560000000000014,2,residual,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
force_abort,,48.662613777131114,1,45.39913811896089,1662,3.3219999999998557,3,residual,False
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
force_abort,,32.15980038951116,1,50.88749674882327,1704,3.4059999999998465,4,residual,False
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,38.19906329354623,1,53.14638672732414,1933,3.863999999999796,5,residual,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
success,2.881999999999904,28.103800233467698,1,52.556443623725976,1468,2.9339999999998985,6,residual,True
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
success,4.931999999999679,18.295927958707296,1,143.7067054952475,2493,4.983999999999673,7,residual,True
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
success,4.569999999999719,26.74373614693179,1,181.5988517454905,2312,4.621999999999713,8,residual,True
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,33.901656544942874,1,30.521750784904896,1572,3.1419999999998756,9,residual,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,7.307999999999417,14.119660683075868,1,88.56593461533677,3681,7.3599999999994115,10,residual,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
force_abort,,31.20224112426152,1,30.257183241854158,1126,2.249999999999974,11,residual,False
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
success,4.221999999999757,15.818119974588479,1,99.63855658875516,2138,4.273999999999751,12,residual,True
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,34.47367312591319,1,32.00705648476723,1142,2.2819999999999703,13,residual,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,5.10399999999966,8.941489011052205,1,64.37081228019424,2579,5.155999999999654,14,residual,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
success,6.037999999999557,15.324349075965495,1,161.0991677930085,3046,6.089999999999551,15,residual,True
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
success,4.219999999999757,22.737595619315016,1,73.38714752898572,2137,4.2719999999997516,16,residual,True
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,33.7283143342094,1,20.164268928753472,609,1.2160000000000009,17,residual,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
success,7.305999999999417,9.002212922045468,1,76.56575281247298,3680,7.357999999999412,18,residual,True
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
success,9.333999999999786,11.631751478174252,1,107.1880861234144,4693,9.383999999999803,19,residual,True
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
success,9.76399999999993,9.278668456505839,1,89.93304282817738,4908,9.813999999999947,20,residual,True
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
success,5.709999999999593,11.500691811204426,1,104.46041659898597,2882,5.7619999999995875,21,residual,True
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
force_abort,,31.136081346095853,1,76.23148329335426,3160,6.317999999999526,22,residual,False
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,34.625729599456534,1,50.03861168359249,2087,4.171999999999763,23,residual,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
success,2.8599999999999066,24.07508087241241,1,82.79019851037823,1457,2.911999999999901,24,residual,True
force_abort,,39.23511773481224,1,16.462387818193584,1501,2.999999999999891,25,human_only,False
force_abort,,30.91569665788802,1,40.08143645831031,1486,2.9699999999998945,25,residual,False
success,10.082000000000036,13.886201068960771,1,74.62431285210634,5067,10.132000000000053,26,human_only,True
success,9.937999999999988,11.650089442023047,1,126.84875483939737,4995,9.988000000000005,26,residual,True
force_abort,,34.43952819494776,1,22.814625508857453,2936,5.869999999999576,27,human_only,False
force_abort,,33.68905759774758,1,60.13556702808377,3013,6.023999999999559,27,residual,False
success,4.065999999999774,8.750690480943142,1,22.42282129723592,2060,4.1179999999997685,28,human_only,True
success,4.1179999999997685,15.885729337016762,1,62.27637069813791,2086,4.169999999999763,28,residual,True
force_abort,,52.5558927282092,1,19.28977540243205,1622,3.2419999999998645,29,human_only,False
force_abort,,32.48311171505395,1,38.7131549000647,1601,3.199999999999869,29,residual,False
force_abort,,42.00804209389893,1,25.319393349070896,2325,4.64799999999971,30,human_only,False
force_abort,,30.25372059020801,1,54.09070234703785,2338,4.673999999999707,30,residual,False
success,5.135999999999656,8.683587964068044,1,26.88867664866291,2595,5.187999999999651,31,human_only,True
success,5.147999999999655,8.89718206425126,1,40.878805248489954,2601,5.199999999999649,31,residual,True
force_abort,,32.390906923794894,1,33.959355283219864,2863,5.723999999999592,32,human_only,False
success,6.263999999999532,23.972323588689115,1,112.12254107817782,3159,6.315999999999526,32,residual,True
success,6.64399999999949,18.11090978497795,1,58.836775110774845,3349,6.695999999999485,33,human_only,True
success,6.577999999999498,8.808779932322809,1,124.90267729075424,3316,6.629999999999492,33,residual,True
timeout,,19.497967570958327,1,84.1786907972738,9000,17.998000000000903,34,human_only,False
force_abort,,31.536321391113663,1,57.45677941194889,1637,3.2719999999998612,34,residual,False
success,9.879999999999969,15.258983492197304,1,55.964822545293515,4966,9.929999999999986,35,human_only,True
success,9.925999999999984,9.335074009305306,1,106.11015283004659,4989,9.976,35,residual,True
force_abort,,34.88701970073266,1,19.241679130315333,2395,4.787999999999695,36,human_only,False
success,5.00999999999967,12.496390786667046,1,81.03942659641636,2532,5.0619999999996645,36,residual,True
timeout,,14.553959167212033,1,99.34256543620653,9000,17.998000000000903,37,human_only,False
timeout,,16.20059457636386,1,286.7618987633344,9000,17.998000000000903,37,residual,False
force_abort,,37.32171892014381,1,9.167732618603694,1233,2.4639999999999502,38,human_only,False
timeout,,28.250211611873745,1,1277.769600640496,9000,17.998000000000903,38,residual,False
success,7.475999999999399,20.467956424600366,1,66.70531820471396,3765,7.527999999999393,39,human_only,True
success,7.2779999999994205,8.79181275639358,1,85.92826713412543,3666,7.329999999999415,39,residual,True
success,3.4059999999998465,22.62611737575368,1,36.2641733577419,1730,3.4579999999998408,40,human_only,True
force_abort,,35.230755668026724,1,61.196452793585266,1646,3.2899999999998593,40,residual,False
success,5.159999999999654,16.439050264583322,1,34.79131152319316,2607,5.211999999999648,41,human_only,True
success,5.19399999999965,13.384719691955471,1,63.59391579297184,2624,5.245999999999644,41,residual,True
success,10.066000000000031,10.933972581893723,1,50.50778150800661,5059,10.116000000000048,42,human_only,True
timeout,,20.088331340941362,1,216.00490153504447,9000,17.998000000000903,42,residual,False
success,10.682000000000237,29.305239133481443,1,141.41828676318502,5367,10.732000000000253,43,human_only,True
force_abort,,30.57108526846778,1,144.30236586494237,4762,9.52199999999985,43,residual,False
success,12.810000000000947,13.395558145021896,1,83.00468325490043,6431,12.860000000000964,44,human_only,True
success,12.796000000000943,9.245676082731732,1,103.04958594249435,6424,12.84600000000096,44,residual,True
success,15.84400000000196,8.730715164272715,1,82.82758807656437,7948,15.894000000001977,45,human_only,True
success,16.79400000000157,12.1636056005422,1,156.8516624938166,8424,16.846000000001542,45,residual,True
success,9.974,8.712246291888649,1,51.003660047098236,5013,10.024000000000017,46,human_only,True
success,10.014000000000014,11.178674796409931,1,121.52493584501707,5033,10.06400000000003,46,residual,True
force_abort,,44.598591791109065,1,14.24298812852965,1120,2.237999999999975,47,human_only,False
success,2.473999999999949,28.062999741660125,1,96.78553333594348,1264,2.5259999999999434,47,residual,True
success,4.691999999999705,17.872865521872008,1,27.761099972976936,2373,4.7439999999997,48,human_only,True
force_abort,,31.760659389404967,1,61.274686966575075,2290,4.577999999999718,48,residual,False
success,8.799999999999608,12.765871793435881,1,67.70670579599216,4426,8.849999999999625,49,human_only,True
success,8.853999999999626,21.02225151023257,1,100.73708241632004,4453,8.903999999999643,49,residual,True
success,3.1959999999998696,29.22829496245447,1,43.00609358061223,1625,3.247999999999864,50,human_only,True
force_abort,,43.01848006832286,1,34.9223726415951,1506,3.00999999999989,50,residual,False
timeout,,8.667461422262232,1,92.95643337996374,9000,17.998000000000903,51,human_only,False
timeout,,9.039395364798581,1,155.70465337547964,9000,17.998000000000903,51,residual,False
force_abort,,35.83904398802985,1,19.32269440618992,1420,2.837999999999909,52,human_only,False
force_abort,,40.973932773121334,1,39.5715893477073,1422,2.8419999999999086,52,residual,False
timeout,,8.656225049114495,1,81.54878650677304,9000,17.998000000000903,53,human_only,False
timeout,,9.291759317754515,1,345.7774202732108,9000,17.998000000000903,53,residual,False
success,3.55399999999983,8.670608097650033,1,19.808945864133314,1804,3.6059999999998245,54,human_only,True
force_abort,,32.31877750059401,1,49.852842224553825,1709,3.4159999999998454,54,residual,False
success,2.73799999999992,8.86133203261401,1,6.7448209445969605,1396,2.7899999999999143,55,human_only,True
force_abort,,34.950498567503125,1,52.34865332626974,1362,2.721999999999922,55,residual,False
force_abort,,33.00990752965072,1,21.34710855445048,1851,3.699999999999814,56,human_only,False
